中文,繁體,英文,拼音,领域,适用法域,来源地区,类型,来源语境,学习注释,来源记录,条目ID,数据许可,译文审核,中文释义,译法说明,法律依据
一并转让合同权利义务,一併轉讓合同權利義務,transfer contractual rights and obligations together,yi1 bing4 zhuan3 rang4 he2 tong2 quan2 li4 yi4 wu4,contracts,CN,INTERNATIONAL,action,中华人民共和国民法典（2020）,分别适用债权转让与债务转移有关规则；仅转让债权与合同地位整体移转不能混用。,oll-cn-contract-phrases:cn-transfer-contract-position,cn-transfer-contract-position,CC-BY-4.0,project_authored,一方经对方同意，将合同中的权利和义务一起转让给第三人。,项目释译，非官方译文；采用说明性表达，不直接认定等同其他法域 novation 的全部构成与效果。,"中华人民共和国民法典（2020） 第555,556条 https://www.court.gov.cn/zixun/xiangqing/233181.html"
一般保证,一般保證,general guarantee,yi4 ban1 bao3 zheng4,"contracts,finance",CN,INTERNATIONAL,term,中华人民共和国民法典（2020）,原则上保证人享有先诉抗辩，具体例外包括破产受理、书面放弃等条文情形。,oll-cn-core:cn-general-guarantee,cn-general-guarantee,CC-BY-4.0,project_authored,约定在债务人不能履行债务时，由保证人承担责任的保证方式。,项目释译，非官方译文；general 是本法保证方式名称，不表示责任无限。,中华人民共和国民法典（2020） 第687条 https://www.court.gov.cn/zixun/xiangqing/233181.html
一般计税方法,一般計稅方法,general VAT calculation method,yi4 ban1 ji4 shui4 fang1 fa3,tax,CN,INTERNATIONAL,term,中华人民共和国增值税法（2024通过）,第八条将一般计税方法作为纳税人发生应税交易的基本方法，但法律另有规定的除外；第十四条给出应纳税额计算公式。,oll-cn-tax-trade:cn-vat-general-calculation-method,cn-vat-general-calculation-method,CC-BY-4.0,project_authored,以当期销项税额抵扣当期进项税额后的余额计算增值税应纳税额的计税方法。,项目释译，非官方译文；general VAT calculation method 用于区别简易计税方法。,"中华人民共和国增值税法（2024通过） 第8,14条 https://fgk.chinatax.gov.cn/zcfgk/c100009/c5237365/content.html"
一裁终局,一裁終局,finality after a single arbitral award,yi1 cai2 zhong1 ju2,dispute_resolution,CN,INTERNATIONAL,term,中华人民共和国仲裁法（2025修订）,一裁终局不等于仲裁裁决绝对不受法院审查；撤销裁决和不予执行属于法定监督机制。,oll-cn-dispute-resolution:cn-arb-final-award-rule,cn-arb-final-award-rule,CC-BY-4.0,project_authored,仲裁裁决作出后，当事人不能就同一纠纷再次申请仲裁或向法院重新起诉，法律另有司法监督机制的除外。,项目释译，非官方译文；finality after a single arbitral award emphasizes the one-award rule while preserving statutory set-aside and non-enforcement review.,中华人民共和国仲裁法（2025修订） 第10条 https://policy.mofcom.gov.cn/claw/clawContent.shtml?id=103718
上诉状,上訴狀,appellate petition,shang4 su4 zhuang4,dispute_resolution,CN,INTERNATIONAL,term,中华人民共和国民事诉讼法（2023年修正）,本词条描述中国民事二审上诉文书，不预设其他法域 notice of appeal 或 appellate brief 的文书结构。,oll-cn-dispute-resolution:cn-cpl-appellate-petition,cn-cpl-appellate-petition,CC-BY-4.0,project_authored,上诉人向上一级人民法院提出上诉时提交的书面文书，载明案件、原审法院、上诉请求和理由等事项。,"项目释译，非官方译文；appellate petition is a descriptive project translation, not an official standardized English title.",中华人民共和国民事诉讼法（2023年修正） 第172条 https://jiangsu.chinatax.gov.cn/art/2023/9/1/art_23636_1028.html
不受追诉期限限制的情形,不受追訴期限限制的情形,circumstances not subject to the prosecution limitation period,bu4 shou4 zhui1 su4 qi1 xian4 xian4 zhi4 de5 qing2 xing2,criminal,CN,INTERNATIONAL,term,中华人民共和国刑法（含刑法修正案十二的现行合并文本）,第八十八条涉及立案侦查或法院受理后逃避侦查、审判，以及被害人在期限内提出控告而依法应立案却未立案等情形。,oll-cn-criminal:cn-no-limitation-prosecution,cn-no-limitation-prosecution,CC-BY-4.0,project_authored,在刑法规定的特定情形下，犯罪追诉不受一般追诉期限限制。,项目释译，非官方译文；英文仅服务中国大陆刑法学习语境，不主张跨法域概念完全等同。,中华人民共和国刑法（含刑法修正案十二的现行合并文本） 第88条 https://tianjin.chinatax.gov.cn/11200000000/0300/030004/03000418/20240920152615743.shtml
不可抗力,不可抗力,force majeure,bu4 ke3 kang4 li4,"civil,contracts",CN,INTERNATIONAL,term,中华人民共和国民法典（2020）,合同责任是否免除取决于其影响；迟延履行后发生不可抗力的，不免除相应违约责任。,oll-cn-core:cn-force-majeure,cn-force-majeure,CC-BY-4.0,project_authored,不能预见、不能避免且不能克服的客观情况。,项目释译，非官方译文；不是所有困难、成本增加或不可控事件都当然满足本定义。,"中华人民共和国民法典（2020） 第180,590条 https://www.court.gov.cn/zixun/xiangqing/233181.html"
不可撤销的要约,不可撤銷的要約,irrevocable offer,bu4 ke3 che4 xiao1 de5 yao1 yue1,contracts,CN,INTERNATIONAL,term,中华人民共和国民法典（2020）,确定承诺期限等可以构成明示；合理信赖情形还要求已为履约作合理准备。,oll-cn-contract-phrases:cn-irrevocable-offer,cn-irrevocable-offer,CC-BY-4.0,project_authored,因要约人明示不可撤销，或者受要约人合理信赖并已作履约准备而不得撤销的要约。,项目释译，非官方译文；irrevocable 表示本法对撤销的限制，不借此移植其他法域的对价或期权合同规则。,中华人民共和国民法典（2020） 第476条 https://www.court.gov.cn/zixun/xiangqing/233181.html
不安抗辩权,不安抗辯權,right to suspend performance on grounds of insecurity,bu4 an1 kang4 bian4 quan2,contracts,CN,INTERNATIONAL,term,中华人民共和国民法典（2020）,应及时通知；对方提供适当担保应恢复履行。没有确切证据而中止的，应承担违约责任。,oll-cn-contract-phrases:cn-insecurity-defense,cn-insecurity-defense,CC-BY-4.0,project_authored,先履行方有确切证据证明对方出现法定履约能力风险时，中止履行的权利。,项目释译，非官方译文；insecurity 限定为履约能力风险，不指主观不安；也不直接等同普通法的 anticipatory breach。,"中华人民共和国民法典（2020） 第527,528条 https://www.court.gov.cn/zixun/xiangqing/233181.html"
不当得利,不當得利,unjust enrichment,bu4 dang4 de2 li4,civil,CN,INTERNATIONAL,term,中华人民共和国民法典（2020）,受损失者可请求返还不当利益；不当并不必然等于故意违法。,oll-cn-core:cn-unjust-enrichment,cn-unjust-enrichment,CC-BY-4.0,project_authored,没有法律根据取得利益，并使他人受到损失的情形。,项目释译，非官方译文；按所引中国法条理解，不能直接套用其他法域的全部构成要件。,中华人民共和国民法典（2020） 第122条 https://www.court.gov.cn/zixun/xiangqing/233181.html
专属管辖,專屬管轄,exclusive jurisdiction,zhuan1 shu3 guan3 xia2,dispute_resolution,CN,INTERNATIONAL,term,中华人民共和国民事诉讼法（2023年修正）,专属管辖会限制当事人的协议管辖选择；不能仅因合同约定法院就当然排除专属管辖。,oll-cn-dispute-resolution:cn-cpl-exclusive-jurisdiction,cn-cpl-exclusive-jurisdiction,CC-BY-4.0,project_authored,法律将特定类型案件排他性地交由特定地点的人民法院管辖，例如不动产纠纷由不动产所在地法院管辖。,"项目释译，非官方译文；exclusive jurisdiction refers to the mandatory allocation in Article 34, not every non-waivable jurisdiction rule in comparative law.",中华人民共和国民事诉讼法（2023年修正） 第34条 https://jiangsu.chinatax.gov.cn/art/2023/9/1/art_23636_1028.html
个人信息,個人信息,personal information,ge4 ren2 xin4 xi1,privacy,CN,INTERNATIONAL,term,中华人民共和国个人信息保护法（2021）,个人信息处理涵盖收集、存储、使用、加工、传输、提供、公开和删除等活动。,oll-cn-core:cn-personal-information,cn-personal-information,CC-BY-4.0,project_authored,以电子或其他方式记录、与已识别或可识别自然人有关的各种信息，不包括匿名化后的信息。,项目释译，非官方译文；采用本法 personal information 语境，不默认与其他法域 personal data 的边界完全相同。,中华人民共和国个人信息保护法（2021） 第4条 https://www.cac.gov.cn/2021-08/20/c_1631050028355286.htm
个人信息保护影响评估,個人信息保護影響評估,personal information protection impact assessment,ge4 ren2 xin4 xi1 bao3 hu4 ying3 xiang3 ping2 gu1,privacy,CN,INTERNATIONAL,term,中华人民共和国个人信息保护法（2021）,第五十五条列举委托处理、公开、向境外提供等触发情形，应逐项核对。,oll-cn-core:cn-pipia,cn-pipia,CC-BY-4.0,project_authored,在敏感信息、自动化决策等法定高影响处理活动前开展并记录的评估。,项目释译，非官方译文；本库可读英文保留 personal information protection，不把其他法域缩写制度直接移入。,中华人民共和国个人信息保护法（2021） 第55条 https://www.cac.gov.cn/2021-08/20/c_1631050028355286.htm
个人信息删除权,個人信息刪除權,right to erasure of personal information,ge4 ren2 xin4 xi1 shan1 chu2 quan2,privacy,CN,INTERNATIONAL,term,中华人民共和国个人信息保护法（2021）,法定保存期未届满或技术上难以删除时，处理应限制于存储及必要安全保护措施。,oll-cn-core:cn-information-erasure,cn-information-erasure,CC-BY-4.0,project_authored,符合法定删除情形而处理者未主动删除时，个人请求删除其信息的权利。,项目释译，非官方译文；不是在任何情形下都能立即彻底删除的无限制权利。,中华人民共和国个人信息保护法（2021） 第47条 https://www.cac.gov.cn/2021-08/20/c_1631050028355286.htm
个人信息处理同意,個人信息處理同意,consent to personal information processing,ge4 ren2 xin4 xi1 chu3 li3 tong2 yi4,privacy,CN,INTERNATIONAL,term,中华人民共和国个人信息保护法（2021）,同意是处理依据之一；第十三条还规定履行合同、法定义务等其他情形。,oll-cn-core:cn-consent-processing,cn-consent-processing,CC-BY-4.0,project_authored,个人在充分知情前提下自愿、明确作出的个人信息处理同意。,项目释译，非官方译文；不要表述为一切处理活动唯一的法律依据。,"中华人民共和国个人信息保护法（2021） 第13,14条 https://www.cac.gov.cn/2021-08/20/c_1631050028355286.htm"
个人信息处理者,個人信息處理者,personal information handler,ge4 ren2 xin4 xi1 chu3 li3 zhe3,privacy,CN,INTERNATIONAL,role,中华人民共和国个人信息保护法（2021）,关键在自主决定目的和方式；不能仅凭是否实际操作数据判断身份。,oll-cn-core:cn-information-handler,cn-information-handler,CC-BY-4.0,project_authored,在个人信息处理活动中自主决定处理目的和处理方式的组织或个人。,项目释译，非官方译文；不要将本法处理者直接等同 GDPR 的 processor。,中华人民共和国个人信息保护法（2021） 第73条 https://www.cac.gov.cn/2021-08/20/c_1631050028355286.htm
个人信息更正权,個人信息更正權,right to rectification of personal information,ge4 ren2 xin4 xi1 geng1 zheng4 quan2,privacy,CN,INTERNATIONAL,term,中华人民共和国个人信息保护法（2021）,处理者应核实并及时更正、补充；本权利针对信息准确性和完整性。,oll-cn-core:cn-information-correction,cn-information-correction,CC-BY-4.0,project_authored,个人发现信息不准确或不完整时，请求处理者更正、补充的权利。,项目释译，非官方译文；rectification 与删除权分别列示。,中华人民共和国个人信息保护法（2021） 第46条 https://www.cac.gov.cn/2021-08/20/c_1631050028355286.htm
为亲友非法牟利相关刑事责任,爲親友非法牟利相關刑事責任,criminal liability for improper related-party dealings benefiting relatives or friends,wei4 qin1 you3 fei1 fa3 mou2 li4 xiang1 guan1 xing2 shi4 ze2 ren4,criminal,CN,INTERNATIONAL,term,中华人民共和国刑法（含刑法修正案十二的现行合并文本）,刑法修正案（十二）扩大了条文主体和行为范围；具体定罪仍须满足条文主体、行为、损失等条件。,oll-cn-criminal:cn-criminal-related-party-benefit,cn-criminal-related-party-benefit,CC-BY-4.0,project_authored,刑法第一百六十六条对利用职务便利把盈利业务交亲友经营、以明显不公价格交易或采购不合格商品服务并造成法定重大损失等行为规定的刑事责任。,项目释译，非官方译文；英文仅服务中国大陆刑法学习语境，不主张跨法域概念完全等同。,中华人民共和国刑法（含刑法修正案十二的现行合并文本） 第166条 https://tianjin.chinatax.gov.cn/11200000000/0300/030004/03000418/20240920152615743.shtml
主犯,主犯,principal offender,zhu3 fan4,criminal,CN,INTERNATIONAL,role,中华人民共和国刑法（含刑法修正案十二的现行合并文本）,第二十六条同时规定犯罪集团首要分子与其他主犯的处罚范围，学习时不要把“主犯”与“首要分子”完全等同。,oll-cn-criminal:cn-principal-offender,cn-principal-offender,CC-BY-4.0,project_authored,组织、领导犯罪集团进行犯罪活动，或者在共同犯罪中起主要作用的犯罪人。,项目释译，非官方译文；英文仅服务中国大陆刑法学习语境，不主张跨法域概念完全等同。,中华人民共和国刑法（含刑法修正案十二的现行合并文本） 第26条 https://tianjin.chinatax.gov.cn/11200000000/0300/030004/03000418/20240920152615743.shtml
举证期限,舉證期限,time limit for submitting evidence,ju3 zheng4 qi1 xian4,dispute_resolution,CN,INTERNATIONAL,term,中华人民共和国民事诉讼法（2023年修正）,逾期举证可能产生不予采纳、训诫或罚款等后果，具体后果取决于理由和情形。,oll-cn-dispute-resolution:cn-cpl-evidence-submission-period,cn-cpl-evidence-submission-period,CC-BY-4.0,project_authored,人民法院根据当事人主张和案件情况确定提交证据的期限；确有困难的，可以申请适当延长。,项目释译，非官方译文；time limit for submitting evidence describes the PRC procedural deadline rather than importing foreign discovery terminology.,中华人民共和国民事诉讼法（2023年修正） 第68条 https://jiangsu.chinatax.gov.cn/art/2023/9/1/art_23636_1028.html
举证责任,舉證責任,burden to produce evidence,ju3 zheng4 ze2 ren4,dispute_resolution,CN,INTERNATIONAL,term,中华人民共和国民事诉讼法（2023年修正）,法院在法定情形下可以调查收集证据；本词条不把中国程序法上的举证责任全部等同于普通法中 burden of proof 的所有层次。,oll-cn-dispute-resolution:cn-cpl-burden-produce-evidence,cn-cpl-burden-produce-evidence,CC-BY-4.0,project_authored,当事人对自己提出的主张负有提供证据的责任。,项目释译，非官方译文；burden to produce evidence is deliberately descriptive to avoid collapsing evidentiary burdens across legal systems.,中华人民共和国民事诉讼法（2023年修正） 第67条 https://jiangsu.chinatax.gov.cn/art/2023/9/1/art_23636_1028.html
书面劳动合同,書面勞動合同,written employment contract,shu1 mian4 lao2 dong4 he2 tong2,employment,CN,INTERNATIONAL,document,中华人民共和国劳动合同法（2012修正）,建立劳动关系原则上应订立书面劳动合同；已实际用工但未同时订立的，应当自用工之日起一个月内订立。,oll-cn-admin-labor:cn-labor-written-contract,cn-labor-written-contract,CC-BY-4.0,project_authored,用人单位与劳动者以书面形式订立的劳动合同。,项目释译，非官方译文；employment contract 在本项目中对应劳动合同，避免与一般 service contract 混同。,中华人民共和国劳动合同法（2012修正） 第10条 https://fgk.chinatax.gov.cn/zcfgk/c100009/c5193025/content.html
